codigo,descricao
M60,Miosite
M61,Calcificação muscular
M62,Outros distúrbios musculares
M63,Distúrbios musculares
M65,Sinovite
M66,Ruptura de tendão
M67,Outros distúrbios das bainhas
M68,Distúrbios das bainhas
M70,Distúrbios dos tecidos moles
M71,Bursite
M72,Fibromatose
M73,Distúrbios dos tecidos moles
M75,Síndrome do ombro
M76,Entesopatias dos membros inferiores
M77,Outras entesopatias
M79,Outros distúrbios dos tecidos moles
M80,Osteoporose
M81,Osteoporose
M82,Osteoporose
M83,Osteomalácia
M84,Distúrbios da continuidade óssea
M85,Outros distúrbios da densidade óssea
M86,Osteomielite
M87,Osteonecrose
M88,Doença de Paget
M89,Outros distúrbios ósseos
M90,Distúrbios ósseos
M91,Osteocondrose juvenil
M92,Osteocondrose juvenil
M93,Osteocondrose
M94,Outros distúrbios das cartilagens
M95,Deformidades adquiridas do sistema musculoesquelético
M96,Distúrbios musculoesqueléticos
M97,Distúrbios musculoesqueléticos
M99,Distúrbios biomecânicos
N00,Nefrite aguda
N01,Nefrite rapidamente progressiva
N02,Nefrite hematuria
N03,Síndrome nefrótica
N04,Síndrome nefrótica
N05,Nefrite
N06,Nefrite
N07,Nefrite
N08,Distúrbios renais
N10,Nefrite túbulo-intersticial
N11,Nefrite túbulo-intersticial
N12,Nefrite túbulo-intersticial
N13,Obstrução urinária
N14,Nefropatia
N15,Outras doenças renais
N16,Distúrbios renais
N17,Insuficiência renal aguda
N18,Insuficiência renal crônica
N19,Insuficiência renal
N20,Cálculo renal
N21,Cálculo ureteral
N22,Cálculo urinário
N23,Cólica renal
N25,Distúrbios da função tubular
N26,Doença renal
N27,Doença renal
N28,Outros distúrbios do rim
N29,Distúrbios renais
N30,Cistite
N31,Distúrbios da bexiga
N32,Outros distúrbios da bexiga
N33,Distúrbios da bexiga
N34,Uretrite
N35,Estreitamento da uretra
N36,Outros distúrbios da uretra
N37,Distúrbios da uretra
N39,Outros distúrbios do trato urinário
N40,Hiperplasia da próstata
N41,Doenças inflamatórias da próstata
N42,Outras doenças da próstata
N43,Hidrocele
N44,Torção testicular
N45,Orquite
N46,Infertilidade masculina
N47,Fimose
N48,Outras doenças do pênis
N49,Doenças inflamatórias do órgão genital masculino
N50,Outras doenças do órgão genital masculino
N51,Distúrbios do órgão genital masculino
N60,Displasia benigna da mama
N61,Doenças inflamatórias da mama
N62,Hipertrofia da mama
N63,Lesão da mama
N64,Outras doenças da mama
N70,Salpingite
N71,Doença inflamatória do útero
N72,Doença inflamatória do colo do útero
N73,Outras doenças inflamatórias pélvicas
N74,Doenças inflamatórias pélvicas
N75,Doenças da glândula de Bartholin
N76,Outras doenças inflamatórias da vagina
N77,Distúrbios da vagina
N80,Endometriose
N81,Prolapso genital
N82,Fístula genital
N83,Distúrbios do ovário
N84,Pólipo do trato genital
N85,Outros distúrbios do útero
N86,Erosão do colo do útero
N87,Displasia do colo do útero
N88,Outros distúrbios do colo do útero
N89,Outros distúrbios da vagina
N90,Outros distúrbios da vulva
N91,Amenorreia
N92,Menstruação excessiva
N93,Sangramento uterino
N94,Dor pélvica
N95,Distúrbios da menopausa
N96,Aborto habitual
N97,Infertilidade feminina
N98,Complicações da fertilização
N99,Distúrbios pós-procedimentos
O00,Gravidez ectópica
O01,Mola hidatiforme
O02,Aborto espontâneo
O03,Aborto espontâneo
O04,Aborto espontâneo
O05,Aborto espontâneo
O06,Aborto espontâneo
O07,Aborto espontâneo
O08,Complicações de aborto
O09,Complicações de gravidez
O10,Hipertensão pré-existente
O11,Hipertensão com proteinúria
O12,Edema gestacional
O13,Hipertensão gestacional
O14,Pré-eclâmpsia
O15,Eclâmpsia
O16,Hipertensão materna
O20,Hemorragia precoce
O21,Vômitos excessivos
O22,Complicações venosas
O23,Infecções geniturinárias
O24,Diabetes na gravidez
O25,Desnutrição
O26,Outras complicações
O28,Achados anormais
O29,Complicações anestésicas
O30,Gestação múltipla
O31,Complicações de gestação múltipla
O32,Cuidados por apresentação anormal
O33,Cuidados por desproporção
O34,Cuidados por anomalia uterina
O35,Cuidados por anomalia fetal
O36,Cuidados por outras complicações
O40,Polihidrâmnio
O41,Outras complicações do líquido amniótico
O42,Ruptura prematura de membranas
O43,Complicações da placenta
O44,Placenta prévia
O45,Descolamento prematuro da placenta
O46,Hemorragia anteparto
O47,Trabalho de parto falso
O48,Gestação prolongada
O60,Trabalho de parto prematuro
O61,Falha no trabalho de parto
O62,Anormalidades da contração uterina
O63,Trabalho de parto prolongado
O64,Obstrução do trabalho de parto
O65,Apresentação anormal
O66,Outras obstruções
O67,Hemorragia no parto
O68,Complicações anestésicas
O69,Trabalho de parto complicado
O70,Laceração perineal
O71,Outros traumas obstétricos
O72,Hemorragia pós-parto
O73,Retenção de placenta
O74,Complicações anestésicas
O75,Outras complicações do parto
O80,Parto espontâneo
O81,Parto cesáreo
O82,Parto instrumental
O83,Parto assistido
O84,Parto múltiplo
O85,Infecção puerperal
O86,Outras infecções puerperais
O87,Complicações venosas
O88,Embolia obstétrica
O89,Complicações anestésicas
O90,Complicações puerperais
O91,Infecções da mama
O92,Outras complicações puerperais
O95,Morte obstétrica
O96,Morte obstétrica
O97,Morte obstétrica
O98,Doenças maternas
O99,Outras doenças maternas
P00,Feto afetado por condições maternas
P01,Feto afetado por complicações maternas
P02,Feto afetado por complicações placentárias
P03,Feto afetado por complicações do parto
P04,Feto afetado por substâncias
P05,Crescimento fetal retardado
P07,Distúrbios do crescimento fetal
P08,Distúrbios do crescimento fetal
P10,Lesão intracraniana ao nascimento
P11,Outras lesões ao nascimento
P12,Lesão do couro cabeludo
P13,Lesão esquelética
P14,Lesão do plexo braquial
P15,Outras lesões ao nascimento
P20,Hipóxia intrauterina
P21,Asfixia ao nascimento
P22,Dificuldade respiratória
P23,Pneumonia congênita
P24,Síndrome de aspiração
P25,Enfisema intersticial
P26,Hemorragia pulmonar
P27,Doença pulmonar crônica
P28,Outros distúrbios respiratórios
P29,Distúrbios cardiovasculares
P35,Infecções congênitas
P36,Sepse neonatal
P37,Outras infecções congênitas
P38,Onfalite
P39,Outras infecções neonatais
P50,Hemorragia fetal
P51,Hemorragia umbilical
P52,Hemorragia intracraniana
P53,Doença hemorrágica
P54,Outras hemorragias neonatais
P55,Doença hemolítica
P56,Hidropsia fetal
P57,Icterícia neonatal
P58,Icterícia neonatal
P59,Icterícia neonatal
P60,Coagulação intravascular
P61,Outros distúrbios hematológicos
P70,Distúrbios do metabolismo de carboidratos
P71,Distúrbios do metabolismo de cálcio
P72,Outros distúrbios endócrinos
P74,Distúrbios do equilíbrio eletrolítico
P75,Distúrbios metabólicos
P76,Outros distúrbios intestinais
P77,Enterocolite necrosante
P78,Outros distúrbios digestivos
P80,Hipotermia neonatal
P81,Distúrbios da temperatura
P83,Outras condições da pele
P84,Outras condições neonatais
P90,Convulsões neonatais
P91,Outros distúrbios cerebrais
P92,Problemas de alimentação
P93,Reações a drogas
P94,Distúrbios do tônus
P95,Morte fetal
P96,Outras condições neonatais
Q00,Anencefalia
Q01,Encefalocele
Q02,Microcefalia
Q03,Hidrocefalia
Q04,Outras malformações do cérebro
Q05,Espinha bífida
Q06,Outras malformações da medula
Q07,Outras malformações do sistema nervoso
Q10,Malformações da pálpebra
Q11,Malformações do olho
Q12,Malformações do cristalino
Q13,Malformações da córnea
Q14,Malformações da retina
Q15,Outras malformações do olho
Q16,Malformações do ouvido
Q17,Malformações da orelha
Q18,Outras malformações da face
Q20,Malformações do coração
Q21,Malformações do septo cardíaco
Q22,Malformações das valvas
Q23,Malformações da aorta
Q24,Outras malformações do coração
Q25,Malformações das artérias
Q26,Malformações das veias
Q27,Outras malformações vasculares
Q28,Malformações vasculares
Q30,Malformações do nariz
Q31,Malformações da laringe
Q32,Malformações da traqueia
Q33,Malformações do pulmão
Q34,Outras malformações do aparelho respiratório
Q35,Fenda palatina
Q36,Fenda labial
Q37,Fenda labial e palatina
Q38,Malformações da boca
Q39,Malformações do esôfago
Q40,Malformações do estômago
Q41,Malformações do intestino delgado
Q42,Malformações do intestino grosso
Q43,Malformações do intestino
Q44,Malformações da vesícula
Q45,Malformações do pâncreas
Q50,Malformações do ovário
Q51,Malformações do útero
Q52,Malformações do colo do útero
Q53,Malformações do testículo
Q54,Hipospádia
Q55,Malformações do pênis
Q56,Malformações do órgão genital
Q60,Agenesia renal
Q61,Malformações do rim
Q62,Malformações do ureter
Q63,Malformações do rim
Q64,Malformações da bexiga
Q65,Malformações do quadril
Q66,Malformações do pé
Q67,Malformações do membro
Q68,Malformações do membro
Q69,Polidactilia
Q70,Sindactilia
Q71,Redução de membro superior
Q72,Redução de membro inferior
Q73,Redução de membro
Q74,Outras malformações do membro
Q75,Malformações do crânio
Q76,Malformações da coluna
Q77,Osteocondrodistrofia
Q78,Outras displasias ósseas
Q79,Malformações do sistema musculoesquelético
Q80,Ictiose
Q81,Epidermólise bolhosa
Q82,Outras malformações da pele
Q83,Malformações da pele
Q84,Malformações da pele
Q85,Facomatoses
Q86,Síndromes de malformação
Q87,Síndromes de malformação
Q89,Outras malformações
Q90,Síndrome de Down
Q91,Síndrome de Edwards
Q92,Outras trissomias
Q93,Deleções
Q95,Translocações
Q96,Síndrome de Turner
Q97,Outras anomalias cromossômicas
Q98,Outras anomalias cromossômicas
Q99,Outras anomalias cromossômicas
R00,Anormalidades do ritmo cardíaco
R01,Sopros cardíacos
R02,Gangrena
R03,Pressão arterial anormal
R04,Hemorragia respiratória
R05,Tosse
R06,Anormalidades da respiração
R07,Dor de garganta e peito
R10,Dor abdominal
R11,Náusea e vômito
R12,Pirose
R13,Disfagia
R14,Flatulência
R15,Incontinência fecal
R16,Hepatomegalia
R17,Icterícia
R18,Ascite
R19,Outros sintomas abdominais
R20,Distúrbios da sensibilidade
R21,Erupção cutânea
R22,Edema localizado
R23,Outros sintomas da pele
R25,Movimentos anormais
R26,Anormalidades da marcha
R27,Outros sintomas motores
R29,Outros sintomas neurológicos
R30,Dor ao urinar
R31,Hematuria
R32,Incontinência urinária
R33,Retenção urinária
R34,Anúria
R35,Poliúria
R36,Secreção uretral
R39,Outros sintomas urinários
R40,Sonolência
R41,Outros sintomas cognitivos
R42,Tontura
R43,Distúrbios do olfato
R44,Alucinações
R45,Sintomas emocionais
R46,Sintomas de personalidade
R47,Distúrbios da fala
R48,Distúrbios da leitura
R49,Distúrbios da voz
R50,Febre
R51,Febre
R52,Dor
R53,Fadiga
R54,Envelhecimento
R55,Síncope
R56,Convulsões
R57,Choque
R58,Hemorragia
R59,Linfadenopatia
R60,Edema
R61,Hiperidrose
R62,Retardo do desenvolvimento
R63,Sintomas de alimentação
R64,Caquexia
R68,Outros sintomas gerais
R69,Sintomas inespecíficos
R70,Velocidade de hemossedimentação
R71,Anemia
R72,Leucocitose
R73,Hiperglicemia
R74,Enzimas séricas
R75,Testes para HIV
R76,Outras alterações imunes
R77,Proteínas plasmáticas
R78,Drogas no sangue
R79,Outras alterações sanguíneas
R80,Proteinúria
R81,Glicosúria
R82,Outras alterações urinárias
R83,Líquido cefalorraquidiano
R84,Secreções respiratórias
R85,Secreções digestivas
R86,Secreções genitais
R87,Secreções ginecológicas
R88,Líquido sinovial
R89,Outras secreções
R90,Encéfalo
R91,Pulmão
R92,Mama
R93,Outros órgãos
R94,Função de órgãos
R95,Morte súbita infantil
R96,Outras mortes súbitas
R98,Morte não natural
R99,Outras causas mal definidas
S00,Traumatismo superficial da cabeça
S01,Ferida da cabeça
S02,Fratura do crânio
S03,Luxação da cabeça
S04,Lesão do nervo craniano
S05,Lesão do olho
S06,Traumatismo intracraniano
S07,Lesão da cabeça
S08,Amputação da cabeça
S09,Outras lesões da cabeça
S10,Traumatismo superficial do pescoço
S11,Ferida do pescoço
S12,Fratura do pescoço
S13,Luxação do pescoço
S14,Lesão da medula cervical
S15,Lesão vascular do pescoço
S16,Lesão muscular do pescoço
S17,Lesão do pescoço
S19,Outras lesões do pescoço
S20,Traumatismo superficial do tórax
S21,Ferida do tórax
S22,Fratura do tórax
S23,Luxação do tórax
S24,Lesão da medula torácica
S25,Lesão vascular do tórax
S26,Lesão cardíaca
S27,Lesão pulmonar
S28,Lesão do tórax
S29,Outras lesões do tórax
S30,Traumatismo superficial do abdome
S31,Ferida do abdome
S32,Fratura da pelve
S33,Luxação da pelve
S34,Lesão da medula lombar
S35,Lesão vascular do abdome
S36,Lesão do baço
S37,Lesão do rim
S38,Lesão do abdome
S39,Outras lesões do abdome
S40,Traumatismo superficial do ombro
S41,Ferida do ombro
S42,Fratura do ombro
S43,Luxação do ombro
S44,Lesão do nervo do ombro
S45,Lesão vascular do ombro
S46,Lesão muscular do ombro
S47,Lesão do ombro
S49,Outras lesões do ombro
S50,Traumatismo superficial do braço
S51,Ferida do braço
S52,Fratura do braço
S53,Luxação do braço
S54,Lesão do nervo do braço
S55,Lesão vascular do braço
S56,Lesão muscular do braço
S57,Lesão do braço
S58,Amputação do braço
S59,Outras lesões do braço
S60,Traumatismo superficial da mão
S61,Ferida da mão
S62,Fratura da mão
S63,Luxação da mão
S64,Lesão do nervo da mão
S65,Lesão vascular da mão
S66,Lesão muscular da mão
S67,Lesão da mão
S68,Amputação da mão
S69,Outras lesões da mão
S70,Traumatismo superficial do quadril
S71,Ferida do quadril
S72,Fratura do quadril
S73,Luxação do quadril
S74,Lesão do nervo do quadril
S75,Lesão vascular do quadril
S76,Lesão muscular do quadril
S77,Lesão do quadril
S78,Amputação do quadril
S79,Outras lesões do quadril
S80,Traumatismo superficial da perna
S81,Ferida da perna
S82,Fratura da perna
S83,Luxação do joelho
S84,Lesão do nervo da perna
S85,Lesão vascular da perna
S86,Lesão muscular da perna
S87,Lesão da perna
S88,Amputação da perna
S89,Outras lesões da perna
S90,Traumatismo superficial do tornozelo
S91,Ferida do tornozelo
S92,Fratura do tornozelo
S93,Luxação do tornozelo
S94,Lesão do nervo do tornozelo
S95,Lesão vascular do tornozelo
S96,Lesão muscular do tornozelo
S97,Lesão do tornozelo
S98,Amputação do tornozelo
S99,Outras lesões do tornozelo
T00,Traumatismo superficial de múltiplos sítios
T01,Feridas de múltiplos sítios
T02,Fraturas de múltiplos sítios
T03,Luxações de múltiplos sítios
T04,Lesões de múltiplos sítios
T05,Amputações de múltiplos sítios
T06,Outras lesões de múltiplos sítios
T07,Lesões múltiplas
T08,Fratura da coluna
T09,Lesão da coluna
T10,Fratura do membro superior
T11,Lesão do membro superior
T12,Fratura do membro inferior
T13,Lesão do membro inferior
T14,Lesão de região não especificada
T15,Corpo estranho no olho
T16,Corpo estranho no ouvido
T17,Corpo estranho no trato respiratório
T18,Corpo estranho no trato digestivo
T19,Corpo estranho no trato geniturinário
T20,Queimadura da cabeça
T21,Queimadura do tronco
T22,Queimadura do ombro
T23,Queimadura da mão
T24,Queimadura do quadril
T25,Queimadura do tornozelo
T26,Queimadura do olho
T27,Queimadura do trato respiratório
T28,Queimadura de outros órgãos
T29,Queimaduras de múltiplos sítios
T30,Queimadura de sítio não especificado
T31,Queimaduras
T32,Queimaduras
T33,Geladura superficial
T34,Geladura profunda
T35,Geladura de múltiplos sítios
T36,Intoxicação por antibióticos
T37,Intoxicação por antiparasitários
T38,Intoxicação por hormônios
T39,Intoxicação por analgésicos
T40,Intoxicação por narcóticos
T41,Intoxicação por anestésicos
T42,Intoxicação por anticonvulsivantes
T43,Intoxicação por psicotrópicos
T44,Intoxicação por drogas autonômicas
T45,Intoxicação por vitaminas
T46,Intoxicação por agentes cardíacos
T47,Intoxicação por agentes digestivos
T48,Intoxicação por agentes respiratórios
T49,Intoxicação por agentes dermatológicos
T50,Intoxicação por diuréticos
T51,Efeitos tóxicos do álcool
T52,Efeitos tóxicos de solventes
T53,Efeitos tóxicos de halogênios
T54,Efeitos tóxicos de ácidos
T55,Efeitos tóxicos de detergentes
T56,Efeitos tóxicos de metais
T57,Efeitos tóxicos de substâncias
T58,Efeitos tóxicos do monóxido de carbono
T59,Efeitos tóxicos de gases
T60,Efeitos tóxicos de pesticidas
T61,Efeitos tóxicos de substâncias
T62,Efeitos tóxicos de outras substâncias
T63,Efeitos tóxicos de venenos
T64,Efeitos tóxicos de toxinas
T65,Efeitos tóxicos de outras substâncias
T66,Radiação
T67,Efeitos do calor
T68,Hipotermia
T69,Outros efeitos da temperatura
T70,Efeitos da pressão
T71,Asfixia
T73,Efeitos da privação
T74,Abuso
T75,Efeitos de causas externas
T76,Causas externas
T78,Reações alérgicas
T79,Complicações traumáticas
T80,Complicações de infusão
T81,Complicações de procedimentos
T82,Complicações de próteses
T83,Complicações de dispositivos
T84,Complicações de implantes
T85,Complicações de outros dispositivos
T86,Falha de transplante
T87,Complicações de amputação
T88,Outras complicações
T90,Sequelas de lesões da cabeça
T91,Sequelas de lesões do pescoço
T92,Sequelas de lesões do membro superior
T93,Sequelas de lesões do membro inferior
T94,Sequelas de lesões de múltiplos sítios
T95,Sequelas de queimaduras
T96,Sequelas de intoxicação
T97,Sequelas de efeitos tóxicos
T98,Sequelas de outras causas
U04,Síndrome respiratória aguda grave
U07,COVID-19
U09,COVID-19 pós-infecciosa
U10,Síndrome pós-COVID
U11,Histórico de COVID-19
U12,COVID-19 não especificado
U80,Resistência a antibióticos
U81,Resistência a antivirais
U82,Resistência a quimioterápicos
U83,Resistência a outros agentes
U84,Resistência a agentes
U85,Resistência
V01,Acidente de transporte
V02,Acidente de transporte
V03,Acidente de transporte
V04,Acidente de transporte
V05,Acidente de transporte
V06,Acidente de transporte
V09,Acidente de transporte
V10,Acidente de bicicleta
V11,Acidente de bicicleta
V12,Acidente de bicicleta
V13,Acidente de bicicleta
V14,Acidente de bicicleta
V15,Acidente de bicicleta
V16,Acidente de bicicleta
V17,Acidente de bicicleta
V18,Acidente de bicicleta
V19,Acidente de bicicleta
V20,Acidente de motocicleta
V21,Acidente de motocicleta
V22,Acidente de motocicleta
V23,Acidente de motocicleta
V24,Acidente de motocicleta
V25,Acidente de motocicleta
V26,Acidente de motocicleta
V27,Acidente de motocicleta
V28,Acidente de motocicleta
V29,Acidente de motocicleta
V30,Acidente de triciclo
V31,Acidente de triciclo
V32,Acidente de triciclo
V33,Acidente de triciclo
V34,Acidente de triciclo
V35,Acidente de triciclo
V36,Acidente de triciclo
V37,Acidente de triciclo
V38,Acidente de triciclo
V39,Acidente de triciclo
V40,Acidente de automóvel
V41,Acidente de automóvel
V42,Acidente de automóvel
V43,Acidente de automóvel
V44,Acidente de automóvel
V45,Acidente de automóvel
V46,Acidente de automóvel
V47,Acidente de automóvel
V48,Acidente de automóvel
V49,Acidente de automóvel
V50,Acidente de caminhão
V51,Acidente de caminhão
V52,Acidente de caminhão
V53,Acidente de caminhão
V54,Acidente de caminhão
V55,Acidente de caminhão
V56,Acidente de caminhão
V57,Acidente de caminhão
V58,Acidente de caminhão
V59,Acidente de caminhão
V60,Acidente de ônibus
V61,Acidente de ônibus
V62,Acidente de ônibus
V63,Acidente de ônibus
V64,Acidente de ônibus
V65,Acidente de ônibus
V66,Acidente de ônibus
V67,Acidente de ônibus
V68,Acidente de ônibus
V69,Acidente de ônibus
V70,Acidente de trem
V71,Acidente de trem
V72,Acidente de trem
V73,Acidente de trem
V74,Acidente de trem
V75,Acidente de trem
V76,Acidente de trem
V77,Acidente de trem
V78,Acidente de trem
V79,Acidente de trem
V80,Acidente de veículo
V81,Acidente de veículo
V82,Acidente de veículo
V83,Acidente de veículo
V84,Acidente de veículo
V85,Acidente de veículo
V86,Acidente de veículo
V87,Acidente de veículo
V88,Acidente de veículo
V89,Acidente de veículo
V90,Acidente de embarcação
V91,Acidente de embarcação
V92,Acidente de embarcação
V93,Acidente de embarcação
V94,Acidente de embarcação
V95,Acidente de aeronave
V96,Acidente de aeronave
V97,Acidente de aeronave
V98,Acidente de aeronave
V99,Acidente de aeronave
W00,Queda no mesmo nível
W01,Queda no mesmo nível
W02,Queda em patins
W03,Queda
W04,Queda
W05,Queda
W06,Queda
W07,Queda
W08,Queda
W09,Queda
W10,Queda de escada
W11,Queda de escada
W12,Queda de escada
W13,Queda de construção
W14,Queda de árvore
W15,Queda de penhasco
W16,Afogamento
W17,Queda
W18,Queda
W19,Queda
W20,Impacto
W21,Impacto
W22,Impacto
W23,Impacto
W24,Impacto
W25,Impacto
W26,Impacto
W27,Impacto
W28,Impacto
W29,Impacto
W30,Impacto
W31,Impacto
W32,Disparo de arma de fogo
W33,Disparo de arma de fogo
W34,Disparo de arma de fogo
W35,Explosão
W36,Explosão
W37,Explosão
W38,Explosão
W39,Explosão
W40,Explosão
W41,Explosão
W42,Explosão
W43,Explosão
W44,Corpo estranho
W45,Corpo estranho
W46,Corpo estranho
W47,Corpo estranho
W48,Corpo estranho
W49,Corpo estranho
W50,Golpe
W51,Golpe
W52,Golpe
W53,Golpe
W54,Golpe
W55,Golpe
W56,Golpe
W57,Golpe
W58,Golpe
W59,Golpe
W60,Arranhão
W64,Outros traumas
W65,Afogamento
W66,Afogamento
W67,Afogamento
W68,Afogamento
W69,Afogamento
W70,Afogamento
W73,Outros afogamentos
W74,Afogamento
W75,Sufocação
W76,Sufocação
W77,Sufocação
W78,Sufocação
W79,Sufocação
W80,Sufocação
W81,Sufocação
W83,Outras sufocações
W84,Sufocação
W85,Eletrocução
W86,Eletrocução
W87,Eletrocução
W88,Radiação
W89,Radiação
W90,Radiação
W91,Radiação
W92,Calor
W93,Calor
W94,Calor
W99,Outras causas
X00,Fogo
X01,Fogo
X02,Fogo
X03,Fogo
X04,Fogo
X05,Fogo
X06,Fogo
X08,Fogo
X09,Fogo
X10,Contato com líquidos quentes
X11,Contato com líquidos quentes
X12,Contato com líquidos quentes
X13,Contato com líquidos quentes
X14,Contato com líquidos quentes
X15,Contato com objetos quentes
X16,Contato com objetos quentes
X17,Contato com objetos quentes
X18,Contato com objetos quentes
X19,Contato com objetos quentes
X20,Veneno de serpente
X21,Veneno de aranha
X22,Veneno de escorpião
X23,Veneno de abelha
X24,Veneno de outros animais
X25,Veneno de plantas
X26,Veneno de plantas
X27,Veneno de plantas
X28,Veneno de plantas
X29,Veneno
X30,Exposição ao calor
X31,Exposição ao calor
X32,Exposião ao sol
X33,Exposição ao frio
X34,Exposição ao frio
X35,Exposição ao frio
X36,Exposição ao frio
X37,Exposição ao frio
X38,Exposição ao frio
X39,Exposição ao frio
X40,Envenenamento por drogas
X41,Envenenamento por drogas
X42,Envenenamento por drogas
X43,Envenenamento por drogas
X44,Envenenamento por drogas
X45,Envenenamento por álcool
X46,Envenenamento por drogas
X47,Envenenamento por drogas
X48,Envenenamento por drogas
X49,Envenenamento
X50,Excesso de exercício
X51,Vômito
X52,Fome
X53,Excesso de comida
X54,Excesso de bebida
X57,Privação
X58,Exposição
X59,Exposição
X60,Lesão autoprovocada
X61,Lesão autoprovocada
X62,Lesão autoprovocada
X63,Lesão autoprovocada
X64,Lesão autoprovocada
X65,Lesão autoprovocada
X66,Lesão autoprovocada
X67,Lesão autoprovocada
X68,Lesão autoprovocada
X69,Lesão autoprovocada
X70,Lesão autoprovocada
X71,Lesão autoprovocada
X72,Lesão autoprovocada
X73,Lesão autoprovocada
X74,Lesão autoprovocada
X75,Lesão autoprovocada
X76,Lesão autoprovocada
X77,Lesão autoprovocada
X78,Lesão autoprovocada
X79,Lesão autoprovocada
X80,Lesão autoprovocada
X81,Lesão autoprovocada
X82,Lesão autoprovocada
X83,Lesão autoprovocada
X84,Lesão autoprovocada
X85,Agressão
X86,Agressão
X87,Agressão
X88,Agressão
X89,Agressão
X90,Agressão
X91,Agressão
X92,Agressão
X93,Agressão
X94,Agressão
X95,Agressão
X96,Agressão
X97,Agressão
X98,Agressão
X99,Agressão
Y00,Agressão
Y01,Agressão
Y02,Agressão
Y03,Agressão
Y04,Agressão
Y05,Agressão
Y06,Agressão
Y07,Agressão
Y08,Agressão
Y09,Agressão
Y10,Envenenamento
Y11,Envenenamento
Y12,Envenenamento
Y13,Envenenamento
Y14,Envenenamento
Y15,Envenenamento
Y16,Envenenamento
Y17,Envenenamento
Y18,Envenenamento
Y19,Envenenamento
Y20,Envenenamento
Y21,Envenenamento
Y22,Envenenamento
Y23,Envenenamento
Y24,Envenenamento
Y25,Envenenamento
Y26,Envenenamento
Y27,Envenenamento
Y28,Envenenamento
Y29,Envenenamento
Y30,Envenenamento
Y31,Envenenamento
Y32,Envenenamento
Y33,Envenenamento
Y34,Envenenamento
Y35,Intervenção legal
Y36,Operação de guerra
Y40,Efeitos adversos de antibióticos
Y41,Efeitos adversos de antiparasitários
Y42,Efeitos adversos de hormônios
Y43,Efeitos adversos de analgésicos
Y44,Efeitos adversos de narcóticos
Y45,Efeitos adversos de anestésicos
Y46,Efeitos adversos de anticonvulsivantes
Y47,Efeitos adversos de psicotrópicos
Y48,Efeitos adversos de drogas autonômicas
Y49,Efeitos adversos de vitaminas
Y50,Efeitos adversos de agentes cardíacos
Y51,Efeitos adversos de agentes digestivos
Y52,Efeitos adversos de agentes respiratórios
Y53,Efeitos adversos de agentes dermatológicos
Y54,Efeitos adversos de diuréticos
Y55,Efeitos adversos de agentes do sistema nervoso
Y56,Efeitos adversos de agentes do sistema
Y57,Efeitos adversos de agentes
Y58,Efeitos adversos de vacinas
Y59,Efeitos adversos de outras substâncias
Y60,Infecção durante procedimento
Y61,Infecção durante procedimento
Y62,Infecção durante procedimento
Y63,Infecção durante procedimento
Y64,Infecção durante procedimento
Y65,Infecção durante procedimento
Y66,Infecção durante procedimento
Y67,Infecção durante procedimento
Y68,Infecção durante procedimento
Y69,Infecção durante procedimento
Y70,Dispositivo médico
Y71,Dispositivo médico
Y72,Dispositivo médico
Y73,Dispositivo médico
Y74,Dispositivo médico
Y75,Dispositivo médico
Y76,Dispositivo médico
Y77,Dispositivo médico
Y78,Dispositivo médico
Y79,Dispositivo médico
Y80,Dispositivo médico
Y81,Dispositivo médico
Y82,Dispositivo médico
Y83,Procedimento cirúrgico
Y84,Procedimento médico
Y85,Sequelas de causas externas
Y86,Sequelas de causas externas
Y87,Sequelas de causas externas
Y88,Sequelas de causas externas
Y89,Sequelas de causas externas
Y90,Álcool no sangue
Y91,Álcool no sangue
Y95,Doença nosocomial
Y96,Condições relacionadas ao trabalho
Y97,Condições relacionadas à poluição
Y98,Condições relacionadas ao estilo de vida
Z00,Exame médico geral
Z01,Exame médico
Z02,Exame para fins administrativos
Z03,Observação médica
Z04,Exame para fins legais
Z05,Exame para fins de pesquisa
Z06,Exame para fins de pesquisa
Z08,Exame de seguimento
Z09,Exame de seguimento
Z10,Exame de rotina
Z11,Exame para doenças infecciosas
Z12,Exame para neoplasias
Z13,Exame para outras doenças
Z20,Contato com doenças infecciosas
Z21,Infecção assintomática por HIV
Z22,Portador de doença infecciosa
Z23,Imunização
Z24,Imunização
Z25,Imunização
Z26,Imunização
Z27,Imunização
Z28,Imunização não realizada
Z29,Profilaxia
Z30,Contracepção
Z31,Procedimentos de fertilidade
Z32,Gravidez
Z33,Gravidez acidental
Z34,Supervisão de gravidez
Z35,Supervisão de gravidez de risco
Z36,Rastreamento pré-natal
Z37,Resultado de parto
Z38,Recém-nascido
Z39,Cuidados pós-parto
Z40,Cirurgia profilática
Z41,Procedimentos para outros fins
Z42,Procedimentos de seguimento
Z43,Cuidados com ostomia
Z44,Cuidados com prótese
Z45,Cuidados com dispositivo
Z46,Cuidados com outros dispositivos
Z47,Cuidados ortopédicos
Z48,Procedimentos cirúrgicos
Z49,Cuidados com diálise
Z50,Reabilitação
Z51,Outros cuidados médicos
Z52,Doadores de órgãos
Z53,Procedimentos não realizados
Z54,Convalescença
Z55,Problemas educacionais
Z56,Problemas relacionados ao trabalho
Z57,Exposição ocupacional
Z58,Problemas ambientais
Z59,Problemas de habitação
Z60,Problemas sociais
Z61,Problemas na infância
Z62,Problemas na educação
